type,valeur,pages
paragraphe,"Pour aller plus loin dans COURTIA 
   Par métier 
   
        Courtier d'assurance (multi-branches)  
        Courtier I",/fr/logiciel-courtier-assurance-bordeaux /fr/logiciel-courtier-assurance-lille /fr/logiciel-courtier-assurance-lyon /fr/logiciel-courtier-assurance-marseille /fr/logiciel-courtier-assurance-montpellier /fr/logiciel-courtier-assurance-nantes /fr/logiciel-courtier-assurance-nice /fr/logiciel-courtier-assurance-paris /fr/logiciel-courtier-assurance-strasbourg /fr/logiciel-courtier-assurance-toulouse
paragraphe,COURTIA adapte l'IA ARK à votre activité pour automatiser ce qui vous prend du temps.,/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-multi-agences /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-tns
paragraphe,"Portefeuille centralisé, relances ciblées, conformité suivie : vous vous concentrez sur le conseil, ARK gère l'administr",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-multi-agences /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-tns
paragraphe,"Un cabinet exerce en France entière : la réponse utile à
      sa question est nationale, et le même texte décliné sur d",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante /fr/logiciel-courtier-tns
paragraphe,"Les seules entrées locales conservées sont celles qui portent un
      contenu propre sur leur tissu de courtage ; elles",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante /fr/logiciel-courtier-tns
paragraphe,"Pour aller à l'essentiel :  le logiciel de courtage 
      pour comparer les offres,  le CRM courtier assurance 
      p",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante /fr/logiciel-courtier-tns
paragraphe,"Voir l'outil sur un cas concret 
     La visite guidée déroule un cabinet fictif, avec des données synthétiques et sans
",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-iard /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante
paragraphe,"Pour une démonstration sur votre portefeuille réel, la demande se fait
    en quelques lignes, et les tarifs publics son",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-iard /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante
paragraphe,"Lancer la visite guidée 
     Demander une démo 
     Voir les tarifs  
   
   
 
   
     Le courtage, ville par ville ",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-iard /fr/logiciel-courtier-mutuelle /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-sante
paragraphe,"Oui, l'outil et l'IA ARK s'adaptent aux produits et échéances propres à votre segment.",/fr/logiciel-courtier-emprunteur /fr/logiciel-courtier-grossiste /fr/logiciel-courtier-iard /fr/logiciel-courtier-mandataire /fr/logiciel-courtier-multi-agences /fr/logiciel-courtier-prevoyance /fr/logiciel-courtier-tns
